{:name=>"ABLEIGES - 95450", :email=>"mairie.ableiges95@wanadoo.fr"}
{:name=>"AINCOURT - 95510", :email=>"mairie.aincourt@wanadoo.fr"}
{:name=>"AMBLEVILLE - 95710", :email=>"mairie.ambleville@wanadoo.fr"}
{:name=>"AMENUCOURT - 95510", :email=>"mairie.amenucourt@wanadoo.fr"}
{:name=>"ANDILLY - 95580", :email=>"mairie.andilly@wanadoo.fr"}
{:name=>"ARGENTEUIL - 95100", :email=>"christian.bournery@ville-argenteuil.fr"}
{:name=>"ARNOUVILLE-LES-GONESSE - 95400", :email=>"webmaster@villedarnouville.com"}
{:name=>"ARRONVILLE - 95810", :email=>"arronville@wanadoo.fr"}
{:name=>"ARTHIES - 95420", :email=>"mairie-arthies-95@wanadoo.fr"}
{:name=>"ASNIERES-SUR-OISE - 95270", :email=>"herve.pellin@ville-asnieres-sur-oise.fr"}
{:name=>"ATTAINVILLE - 95570", :email=>"mairie@attainville.fr"}
{:name=>"AUVERS-SUR-OISE - 95430", :email=>"communication@auvers-sur-oise.com"}
{:name=>"AVERNES - 95450", :email=>"mairie.avernes@orange.fr"}
{:name=>"BAILLET-EN-FRANCE - 95560", :email=>"info@baillet-en-france.fr"}
{:name=>"BANTHELU - 95420", :email=>"mairie.banthelu@wanadoo.fr"}
{:name=>"BEAUCHAMP - 95250", :email=>"accueil-mairie@ville-beauchamp.fr"}
{:name=>"BEAUMONT-SUR-OISE - 95260", :email=>"beaumont.sg@wanadoo.fr"}
{:name=>"BELLEFONTAINE - 95270", :email=>"mairiebellefontaine2@wanadoo.fr"}
{:name=>"BELLOY-EN-FRANCE - 95270", :email=>"secretariat@mairie-belloy-en-france.fr"}
{:name=>"BERNES-SUR-OISE - 95340", :email=>"mairiebernes@wanadoo.fr"}
{:name=>"BERVILLE - 95810", :email=>"mairie.de.berville@wanadoo.fr"}
{:name=>"BESSANCOURT - 95550", :email=>"melody.quesnel@ville-bessancourt.fr"}
{:name=>"BETHEMONT-LA-FORET - 95840", :email=>"mairie.bethemont-laforet@wanadoo.fr"}
{:name=>"BEZONS - 95870", :email=>"courrier@mairie-bezons.fr"}
{:name=>"BOISEMONT - 95000", :email=>"commune.boisemont@wanadoo.fr"}
{:name=>"BOISSY-L'AILLERIE - 95650", :email=>"mairie.boissy-laillerie@wanadoo.fr"}
{:name=>"BONNEUIL-EN-FRANCE - 95500", :email=>"bonneuil-en-france95@orange.fr"}
{:name=>"BOUFFEMONT - 95570", :email=>"info@ville-bouffemont.fr"}
{:name=>"BOUQUEVAL - 95720", :email=>"mairiebouqueval@wanadoo.fr"}
